section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528876774155,3.515244,1.913071,72.057724,-0.129395,-0.16748,0.963379,-2.3882087623563097,-7.769719281838152,63.309053860026886,0.8483465313911438,-0.046748191118240356,-0.053246527910232544,0.5246784687042236
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528885581155,2.658844,1.670837,79.809189,-0.141602,-0.180176,0.957031,-2.2061952087808487,-7.7896818274412585,63.996875545738284,0.845254123210907,-0.047416627407073975,-0.052275530993938446,0.5296832919120789
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528894388155,1.256943,1.791,88.415146,-0.162598,-0.196289,0.960449,-2.0063148961418427,-7.819718200858516,64.75763888059127,0.8417919278144836,-0.04822313413023949,-0.05126065015792847,0.5351945161819458
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528903195155,0.03624,1.607895,97.753525,-0.188965,-0.194824,0.955078,-1.78744872538769,-7.863342087013995,65.6066416546846,0.8378756046295166,-0.04919544234871864,-0.05022164434194565,0.5413150787353516
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528910995155,-1.125336,1.487732,108.251572,-0.201172,-0.199219,0.954102,-1.550235021024189,-7.923258864013953,66.50678105322315,0.8336666822433472,-0.05036991834640503,-0.04916641116142273,0.547764003276825
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528918795155,-2.222061,1.485825,118.505478,-0.224121,-0.20166,0.966797,-1.2968460169863154,-7.990778925759273,67.49661278189225,0.8289740681648254,-0.05165931582450867,-0.048092786222696304,0.5548156499862671
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528926595155,-1.916885,2.584457,128.271103,-0.193359,-0.210449,0.981445,-1.0322925864032892,-8.062440902999608,68.58832975191083,0.8237214088439941,-0.053013309836387634,-0.047032248228788376,0.5625482201576233
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528934395155,-0.391006,4.846573,135.351181,-0.156738,-0.220703,1.006348,-0.7667804651910134,-8.124477506765253,69.73472716216719,0.8181270360946655,-0.054305680096149445,-0.045973166823387146,0.5706185102462769
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528940539155,1.804352,6.248474,141.820908,-0.125,-0.229492,1.021484,-0.4836428915043726,-8.17101455085249,70.90497991379951,0.8123450875282288,-0.05559372156858444,-0.04475311189889908,0.5787935256958008
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528946683155,3.330231,5.088806,147.680283,-0.119141,-0.24707,1.037109,-0.19516257715583657,-8.201535212462426,72.19131681848994,0.8058928847312927,-0.056782327592372894,-0.043502118438482285,0.5877243280410767
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528952827155,5.161285,3.501892,153.661728,-0.111328,-0.255371,1.02002,0.08875613923853831,-8.217964156458155,73.47611432110875,0.7993515729904175,-0.057883914560079575,-0.04224114865064621,0.5965753793716431
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528958971155,6.076813,2.037048,159.215927,-0.111816,-0.26709,1.021484,0.3591677448112986,-8.214833151291485,74.75444979351205,0.7927473187446594,-0.058816030621528625,-0.04099709168076515,0.6053193807601929
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528965115155,6.565094,1.182556,165.075302,-0.108887,-0.265137,1.001465,0.6260278470038944,-8.195594454255168,76.1950989361148,0.7851787209510803,-0.05959684029221535,-0.03980150818824768,0.6151084303855896
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548528973371155,6.202698,-1.25885,170.385361,-0.098145,-0.270508,0.992676,0.8810950222155137,-8.17199210802445,77.68581028056143,0.777209460735321,-0.06030572950839996,-0.03871461749076843,0.625147819519043
